,0,1,id,block
0,0.5012683,0.49873173,A1171IQSWQS0K8,0
1,0.50189257,0.49810746,A1171IQSWQS0K8,0
2,0.50113964,0.49886027,A1171IQSWQS0K8,0
3,0.50201297,0.49798694,A1171IQSWQS0K8,0
4,0.5024531,0.49754688,A1171IQSWQS0K8,0
5,0.5013038,0.49869615,A1171IQSWQS0K8,0
6,0.5018156,0.4981844,A1171IQSWQS0K8,0
7,0.50226694,0.49773303,A1171IQSWQS0K8,0
8,0.5013704,0.49862963,A1171IQSWQS0K8,0
9,0.5013064,0.4986936,A1171IQSWQS0K8,0
10,0.50135815,0.49864182,A1171IQSWQS0K8,0
11,0.50176686,0.4982331,A1171IQSWQS0K8,0
12,0.50201714,0.49798286,A1171IQSWQS0K8,0
13,0.5014598,0.49854016,A1171IQSWQS0K8,0
14,0.5012527,0.49874738,A1171IQSWQS0K8,0
15,0.50124294,0.49875706,A1171IQSWQS0K8,0
16,0.50115514,0.49884483,A1171IQSWQS0K8,0
17,0.50094074,0.49905926,A1171IQSWQS0K8,0
18,0.50131947,0.4986805,A1171IQSWQS0K8,0
19,0.5019541,0.49804592,A1171IQSWQS0K8,0
20,0.50196713,0.4980329,A1171IQSWQS0K8,0
21,0.50143015,0.49856976,A1171IQSWQS0K8,0
22,0.5013622,0.49863786,A1171IQSWQS0K8,0
23,0.50137365,0.49862638,A1171IQSWQS0K8,0
24,0.5017166,0.49828345,A1171IQSWQS0K8,0
25,0.50151116,0.4984888,A1171IQSWQS0K8,0
26,0.50128436,0.49871567,A1171IQSWQS0K8,0
27,0.5013973,0.49860266,A1171IQSWQS0K8,0
28,0.50129,0.49870998,A1171IQSWQS0K8,0
29,0.5014337,0.4985664,A1171IQSWQS0K8,0
30,0.5019047,0.49809527,A1171IQSWQS0K8,0
31,0.50202566,0.4979743,A1171IQSWQS0K8,0
32,0.50193,0.49807003,A1171IQSWQS0K8,0
33,0.50199455,0.49800542,A1171IQSWQS0K8,0
34,0.5015282,0.4984718,A1171IQSWQS0K8,0
35,0.501747,0.49825296,A1171IQSWQS0K8,0
36,0.501738,0.49826202,A1171IQSWQS0K8,0
37,0.5012907,0.49870935,A1171IQSWQS0K8,0
38,0.50130415,0.49869582,A1171IQSWQS0K8,0
39,0.5016129,0.49838707,A1171IQSWQS0K8,0
40,0.50123566,0.4987644,A1171IQSWQS0K8,0
41,0.5011994,0.49880052,A1171IQSWQS0K8,0
42,0.5011929,0.49880704,A1171IQSWQS0K8,0
43,0.5012128,0.49878722,A1171IQSWQS0K8,0
44,0.50155437,0.49844563,A1171IQSWQS0K8,0
45,0.5017044,0.49829555,A1171IQSWQS0K8,0
46,0.5017215,0.49827856,A1171IQSWQS0K8,0
47,0.50167394,0.49832612,A1171IQSWQS0K8,0
48,0.501517,0.49848294,A1171IQSWQS0K8,0
49,0.5013211,0.49867883,A1171IQSWQS0K8,0
50,0.50129896,0.49870098,A1171IQSWQS0K8,0
51,0.5012779,0.4987221,A1171IQSWQS0K8,0
52,0.5015372,0.49846277,A1171IQSWQS0K8,0
53,0.5015469,0.49845308,A1171IQSWQS0K8,0
